supplier_id,supplier_name,supplier_type,country,city,material_category,payment_terms,supplier_rating,active_flag
SUP0068,Sterling Systems,Manufacturer,South Korea,Busan,Guide Rails,Net 90,4.5,Y
SUP0069,Sterling Manufacturing,OEM Partner,Japan,Osaka,Sensors & Instrumentation,Net 30,4.2,Y
SUP0070,NovaTech Precision Works,Manufacturer,China,Shenzhen,Door Systems,Net 45,3.7,Y
SUP0071,Sterling Precision Works,Component Fabricator,Italy,Turin,Fasteners & Hardware,Net 30,4.2,Y
SUP0072,Precision Engineering Co.,Manufacturer,United States,Detroit,Fasteners & Hardware,Net 60,4.8,Y
SUP0073,Pinnacle Fabrication,OEM Partner,India,Chennai,Hydraulic Components,Net 60,4.0,Y
SUP0074,Zenith Components,OEM Partner,Japan,Osaka,Sensors & Instrumentation,Net 60,4.8,Y
SUP0075,United Systems,OEM Partner,Germany,Stuttgart,Door Systems,Net 30,2.7,N
SUP0076,Elite Corp.,OEM Partner,South Korea,Busan,Hydraulic Components,Net 45,4.4,Y
SUP0077,Apex Precision Works,OEM Partner,India,Pune,Cabin Fittings,Net 30,4.0,Y
SUP0078,Precision Manufacturing,OEM Partner,Germany,Stuttgart,Cabling & Wiring,Net 90,3.9,Y
SUP0079,Pinnacle Industries,Distributor,China,Shanghai,Hydraulic Components,Net 30,4.0,Y
SUP0080,Superior Motors Ltd.,Distributor,Poland,Wroclaw,Hydraulic Components,Net 60,3.0,Y
SUP0081,Superior Technologies,OEM Partner,India,Coimbatore,Hydraulic Components,Net 90,3.9,Y
SUP0082,Elite Fabrication,Manufacturer,Germany,Stuttgart,Guide Rails,Net 30,4.2,Y
SUP0083,Elite GmbH,Manufacturer,United States,Cleveland,Control Electronics,Net 60,4.7,Y
SUP0084,Vantage Electric,Component Fabricator,South Korea,Busan,Cabling & Wiring,Net 30,3.7,Y
SUP0085,National Precision Works,Manufacturer,United States,Detroit,Cabin Fittings,Net 30,3.6,Y
SUP0086,Global Systems,OEM Partner,United States,Chicago,Fasteners & Hardware,Net 90,3.7,N
SUP0087,Pacific Corp.,Manufacturer,South Korea,Seoul,Ropes & Suspension,Net 30,4.5,Y
SUP0088,Pacific Technologies,Distributor,Taiwan,Kaohsiung,Sensors & Instrumentation,Net 60,4.2,Y
SUP0089,Elite Systems,Manufacturer,India,Pune,Motors & Drives,Net 45,3.7,Y
SUP0090,Eastern Technologies,OEM Partner,United States,Cleveland,Cabling & Wiring,Advance Payment,4.3,Y
SUP0091,Atlantic Technologies,Distributor,Vietnam,Ho Chi Minh City,Motors & Drives,Net 30,4.0,Y
SUP0092,Central Fabrication,Manufacturer,Germany,Hamburg,Cabin Fittings,Net 30,4.5,Y
SUP0093,Vantage Technologies,Manufacturer,United States,Detroit,Safety Components,Net 90,3.6,Y
SUP0094,Zenith Motors Ltd.,Manufacturer,Japan,Yokohama,Door Systems,Net 60,3.8,Y
SUP0095,Progressive Industries,OEM Partner,Germany,Stuttgart,Door Systems,Net 90,3.8,Y
SUP0096,Summit Components,Distributor,China,Shanghai,Fasteners & Hardware,Net 90,3.3,Y
SUP0097,Metro Electric,Manufacturer,Italy,Turin,Structural Steel,Net 60,4.1,Y
SUP0098,Continental Engineering Co.,Manufacturer,South Korea,Seoul,Safety Components,Net 45,4.1,Y
SUP0099,NovaTech Technologies,Component Fabricator,Germany,Munich,Control Electronics,Net 45,4.0,Y
SUP0100,Summit Manufacturing,OEM Partner,Japan,Osaka,Guide Rails,Net 60,3.9,Y
